x,y,z,diff_x,diff_y,diff_z,d_x,d_y,d_z,d_n,di_x,di_y,di_z,f_m,f_x,f_y,f_z
-75,0.000001,72,-75,0.000001,72,0,0,0,0,0,0,0,7.78,-7.26,-0.471416,2.76
75,0.000001,69,75,0.000001,69,0,0,0,0,0,0,0,11.19,10.39,-1.07,4.01
72.00,-0.000105,69.00,72.00,0.000014,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
69.00,-0.000442,69.00,69.00,-0.000014,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
66.00,-0.001628,69.00,66.00,-0.000685,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
63.00,-0.003942,69.00,63.00,-0.002323,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
60.00,-0.006771,69.00,60.00,-0.004361,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
57.00,-0.010133,69.00,57.00,-0.006858,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
54.00,-0.014577,69.00,54.00,-0.010386,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
51.00,-0.019456,69.00,51.00,-0.014314,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
48.00,-0.025080,69.00,48.00,-0.018957,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
45.00,-0.031783,69.00,45.00,-0.024654,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
42.00,-0.039266,69.00,42.00,-0.031094,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
39.00,-0.047729,69.00,39.00,-0.038475,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
36.00,-0.057286,69.00,36.00,-0.046900,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
33.00,-0.067184,69.00,33.00,-0.055610,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
30.00,-0.077856,69.00,30.00,-0.065036,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
27.00,-0.088601,69.00,27.00,-0.074470,69.00,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0,0,0,0
24.00,-0.099438,69.00,24.00,-0.083936,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
21.00,-0.109987,69.00,21.00,-0.093067,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
18.00,-0.119806,69.00,18.00,-0.101453,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
15.00,-0.128977,68.99,15.00,-0.109200,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
12.00,-0.137598,68.99,12.00,-0.116434,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
9.00,-0.144238,68.99,9.00,-0.121743,69.00,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
6.00,-0.149477,68.99,6.00,-0.125716,68.99,0.00,-0.02,0.00,0.02,0.00,0.02,0.00,0,0,0,0
3.00,-0.153109,68.99,3.00,-0.128163,68.99,0.00,-0.02,0.00,0.03,0.00,0.02,0.00,0,0,0,0
