x,y,z,diff_x,diff_y,diff_z,d_x,d_y,d_z,d_n,di_x,di_y,di_z
-33.00,-0.025153,72.00,-33.00,-0.018706,72.00,0.000000E+0,-6.446400E-3,-8.000000E-4,0.01,0,0.01,0.00
-36.00,-0.021791,72.00,-36.00,-0.015715,72.00,0.000000E+0,-6.076300E-3,-7.000000E-4,0.01,0,0.01,0.00
-39.00,-0.018277,72.00,-39.00,-0.012640,72.00,1.000000E-4,-5.637100E-3,-7.000000E-4,0.01,0.00,0.01,0.00
-42.00,-0.015153,72.00,-42.00,-0.010010,72.00,2.000000E-4,-5.142900E-3,-6.000000E-4,0.01,0.00,0.01,0.00
-45.00,-0.012513,72.00,-45.00,-0.007908,72.00,2.000000E-4,-4.605320E-3,-5.000000E-4,0.00,0.00,0.00,0.00
-48.00,-0.010039,72.00,-48.00,-0.006010,72.00,2.000000E-4,-4.028780E-3,-5.000000E-4,0.00,0.00,0.00,0.00
-51.00,-0.008153,72.00,-51.00,-0.004732,72.00,2.000000E-4,-3.420910E-3,-4.000000E-4,0.00,0.00,0.00,0.00
-54.00,-0.005852,72.00,-54.00,-0.003061,72.00,2.000000E-4,-2.791520E-3,-4.000000E-4,0.00,0.00,0.00,0.00
-57.00,-0.004200,72.00,-57.00,-0.002038,72.00,3.000000E-4,-2.161640E-3,-3.000000E-4,0.00,0.00,0.00,0.00
-60.00,-0.002581,72.00,-60.00,-0.001023,72.00,2.000000E-4,-1.557940E-3,-2.000000E-4,0.00,0.00,0.00,0.00
-63.00,-0.001592,72.00,-63.00,-0.000581,72.00,2.000000E-4,-1.010464E-3,-3.000000E-4,0.00,0.00,0.00,0.00
-66.00,-0.000591,72.00,-66.00,-0.000038,72.00,2.000000E-4,-5.523291E-4,-2.000000E-4,0.00,0.00,0.00,0.00
-69.00,-0.000105,72.00,-69.00,0.000117,72.00,2.000000E-4,-2.219780E-4,-1.000000E-4,0.00,0.00,0.00,0.00
-72.00,-0.000350,72.00,-72.00,-0.000298,72.00,1.000000E-4,-5.172800E-5,-1.000000E-4,0.00,0.00,0.00,0.00
-75,0.000001,72,-75,0.000001,72,0.000000E+0,0.000000E+0,0.000000E+0,0,0,0,0
75,0.000001,69,75,0.000001,69,0.000000E+0,0.000000E+0,0.000000E+0,0,0,0,0
72.00,0.000138,69.00,72.00,0.000265,69.00,-1.000000E-4,-1.263040E-4,-1.000000E-4,0.00,0.00,0.00,0.00
69.00,-0.000751,69.00,69.00,-0.000292,69.00,-2.000000E-4,-4.582870E-4,-1.000000E-4,0.00,0.00,0.00,0.00
66.00,-0.001816,69.00,66.00,-0.000801,69.00,-3.000000E-4,-1.015024E-3,-2.000000E-4,0.00,0.00,0.00,0.00
63.00,-0.003750,69.00,63.00,-0.002008,69.00,-3.000000E-4,-1.741860E-3,-2.000000E-4,0.00,0.00,0.00,0.00
60.00,-0.007128,69.00,60.00,-0.004548,69.00,-4.000000E-4,-2.580550E-3,-2.000000E-4,0.00,0.00,0.00,0.00
57.00,-0.010794,69.00,57.00,-0.007310,69.00,-4.000000E-4,-3.483830E-3,-3.000000E-4,0.00,0.00,0.00,0.00
54.00,-0.014948,69.00,54.00,-0.010528,69.00,-6.000000E-4,-4.420000E-3,-2.000000E-4,0.00,0.00,0.00,0.00
51.00,-0.020095,69.00,51.00,-0.014722,69.00,-6.000000E-4,-5.372300E-3,-3.000000E-4,0.01,0.00,0.01,0.00
48.00,-0.025916,69.00,48.00,-0.019577,69.00,-7.000000E-4,-6.339000E-3,-3.000000E-4,0.01,0.00,0.01,0.00
45.00,-0.032544,69.00,45.00,-0.025217,69.00,-8.000000E-4,-7.326400E-3,-4.000000E-4,0.01,0.00,0.01,0.00
42.00,-0.040166,69.00,42.00,-0.031813,69.00,-9.000000E-4,-8.352300E-3,-4.000000E-4,0.01,0.00,0.01,0.00
39.00,-0.049280,69.00,39.00,-0.039861,69.00,-9.000000E-4,-9.418800E-3,-4.000000E-4,0.01,0.00,0.01,0.00
36.00,-0.058977,69.00,36.00,-0.048447,69.00,-1.000000E-3,-1.052970E-2,-4.000000E-4,0.01,0.00,0.01,0.00
33.00,-0.069476,69.00,33.00,-0.057792,69.00,-1.100000E-3,-1.168450E-2,-5.000000E-4,0.01,0.00,0.01,0.00
30.00,-0.080687,69.00,30.00,-0.067809,69.00,-1.200000E-3,-1.287840E-2,-5.000000E-4,0.01,0.00,0.01,0.00
27.00,-0.091604,69.00,27.00,-0.077497,69.00,-1.200000E-3,-1.410740E-2,-5.000000E-4,0.01,0.00,0.01,0.00
24.00,-0.103162,69.00,24.00,-0.087790,69.00,-1.300000E-3,-1.537230E-2,-5.000000E-4,0.02,0.00,0.02,0.00
21.00,-0.114145,69.00,21.00,-0.097484,69.00,-1.400000E-3,-1.666100E-2,-6.000000E-4,0.02,0.00,0.02,0.00
